dataTag,Middle,Side,Top,Horizontal,Vertical,Pressure (mBar),Temperature (K),Altitude (m), Average Roll, Max Roll, Average Pitch, Max Pitch,,
0,271,148,257,24,52,988.3,295.91,216.19,0.83,4.86,1.55,2.45,,
1,128,160,241,0,37,988.29,296.19,216.49,-0.13,4.3,2.3,2.92,,
2,184,198,310,0,27,988.26,296.62,217.06,-0.42,-0.81,2.63,2.99,,
dataTag,Middle,Side,Top,Horizontal,Vertical,Pressure (mBar),Temperature (K),Altitude (m), Average Roll, Max Roll, Average Pitch, Max Pitch,,
0,124,106,264,0,24,987.48,297.95,224.93,0.13,0.18,2.59,3.42,,
1,154,221,305,0,44,987.44,298.4,225.63,-1.62,-6.48,3.38,3.45,,
2,173,208,213,10,19,987.41,298.79,226.16,19.37,40.05,1.92,3.87,,
3,167,244,180,0,37,987.35,299.39,227.16,11.23,27.67,2.31,5.46,,
4,217,162,190,0,29,987.3,300.11,228.19,-2.16,-4.46,16.45,38.32,,
5,147,139,238,10,28,987.27,300.91,229.03,-1.45,-6.95,-1.45,12.47,,
6,142,138,287,0,29,987.28,301.76,229.6,-3.09,-6.96,3,6.12,,Middle Geiger counter stopped on rooftop.
7,0,84,239,0,0,987.21,302.73,230.99,-1.7,-4.47,-7.46,-16.33,,
8,0,138,365,0,0,987.24,303.56,231.34,-4.28,-8.05,1.32,2.46,,
9,0,184,228,0,0,987.18,304.38,232.46,-0.12,-3.78,0.64,5.11,,
10,0,136,205,0,0,987.2,305.16,232.9,-1.18,-2.33,2.04,-4.39,,
11,0,234,219,0,0,987.13,305.93,234.11,-1.22,-1.44,3.32,3.39,,
12,0,47,246,0,0,987.17,306.64,234.29,-1.4,-1.57,3.23,3.45,,
13,0,140,295,0,0,987.14,307.31,235.08,-1.51,-1.6,3.21,3.26,,
14,0,115,143,0,0,987.13,307.95,235.72,-1.53,-1.58,3.18,3.23,,
15,0,126,146,0,0,987.08,308.56,236.62,-1.54,-1.99,3.11,3.69,,
16,0,142,123,0,0,987,309.19,237.85,-3.28,-5.71,1.58,9.43,,
17,0,160,221,0,0,987.06,309.88,237.77,-1.65,-5.51,2.71,13.54,,
dataTag,Middle,Side,Top,Horizontal,Vertical,Pressure (mBar),Temperature (K),Altitude (m), Average Roll, Max Roll, Average Pitch, Max Pitch,,
0,0,109,84,0,0,987.07,306.44,235.11,-0.43,-2.46,6.24,14.08,,
1,45,9917,234,0,0,987.09,304.18,233.17,-0.6,-5.46,15.86,23.42,,Invalid data. Tri was reconnecting the Geiger counters.
2,246,13066,372,40,77,987.21,300.72,229.45,-0.74,-2.68,6.69,9.13,,Invalid data. Tri was reconnecting the Geiger counters.
3,137,251,233,11,0,987.18,300.56,229.59,-2.57,-2.72,0.91,2.89,,
4,192,227,161,11,11,987.16,300.97,230.09,-4.55,-11.01,-0.52,-3.31,,
5,124,144,227,0,21,987.15,302.21,231.1,-9.86,-20.27,-6.56,-10.9,,
6,191,131,142,11,11,987.11,303.21,232.26,0.87,7.97,0.31,7.47,,
7,152,86,130,0,12,987.21,304.18,232.09,-0.52,7.48,3.98,8.79,,
8,125,217,155,0,22,987.23,305.3,232.74,-2.14,-4.65,-1.01,-4.34,,
9,220,210,230,11,43,987.23,306.1,233.34,-1.54,-1.98,1.26,2.03,,
10,150,193,237,12,22,987.24,306.76,233.74,-0.14,4.56,3.29,5.53,,
11,240,190,256,22,21,987.3,307.33,233.61,-1.93,-2.17,2.62,2.77,,
12,199,72,299,0,65,987.34,308.02,233.83,-2.16,-2.71,4.32,7.44,,
13,168,133,214,0,11,987.33,308.44,234.24,-1.41,-2.72,2.59,4,,
14,255,110,273,0,23,987.36,308.53,234.02,-1.75,15.06,4.46,8.94,,
15,170,180,132,0,22,987.36,309.01,234.38,0.18,18.62,1.98,5.97,,
16,146,167,173,0,0,987.38,309.22,234.35,0.03,0.25,4.61,4.95,,
17,172,228,131,0,10,987.4,309.43,234.34,-0.05,-0.08,4.9,4.96,,
18,233,155,136,12,11,987.37,309.64,234.74,-0.1,-0.22,4.86,4.91,,
19,155,156,159,0,11,987.44,309.98,234.37,-0.12,-0.17,4.88,4.92,,
20,127,169,234,11,10,987.42,310.25,234.77,-0.08,-0.16,4.86,4.9,,
21,239,145,174,0,44,987.43,310,234.44,-0.05,-0.15,4.91,4.97,,
22,196,123,182,21,20,987.49,309.88,233.84,0,0.74,4.87,5.39,,
23,175,155,194,11,32,987.44,310.55,234.82,-18.92,-50.15,3.46,5.89,,
24,145,137,104,0,11,987.36,310.87,235.75,-2.07,-7.93,3.42,3.63,,
25,206,97,160,0,46,987.42,311.57,235.76,-0.21,-0.56,3.28,3.62,,
26,188,183,185,11,33,987.29,312.2,237.47,1.89,5.68,-0.31,-15.01,,
27,158,132,173,11,33,962.26,312.21,473.55,9.42,12.45,11.16,19.84,,
